"","DPCT","RPCT","MARGIN"
"1",42.5050281841399,42.0770994824234,0.427928701716503
"2",42.54657450861,42.0685871705317,0.477987338078293
"3",42.5309063618324,42.0884539543514,0.442452407481021
"4",42.3651779601921,42.2473364326849,0.117841527507231
"5",42.4412509766921,42.2173172228428,0.223933753849309
"6",42.4934098387624,42.2298496009372,0.263560237825253
"7",42.5437953646466,42.241955893824,0.301839470822642
"8",42.607863244886,42.3535153088461,0.254347936039935
"9",42.6976411096118,42.3307050753582,0.36693603425357
"10",42.5735424090336,42.5515083338631,0.0220340751705237
"11",42.6002720449877,42.3833530903825,0.216918954605106
"12",42.6492839474995,42.4446000490843,0.204683898415183
"13",42.5408598324577,42.7004161045531,-0.159556272095436
"14",42.4919306360487,42.6266995676024,-0.134768931553737
"15",42.4912519665673,43.043151872071,-0.551899905503639
"16",42.3365004377099,43.1061156364182,-0.769615198708365
"17",42.2448277541352,43.2402182130059,-0.995390458870673
"18",42.3306846651207,43.3594405429779,-1.02875587785717
"19",42.3020448232986,43.4471650388808,-1.14512021558221
"20",42.4477737924309,43.8601806172587,-1.41240682482773
"21",42.4933859743418,43.9050259272048,-1.41163995286302
"22",42.494570008492,43.9003346818698,-1.40576467337785
"23",42.5528711092628,43.8620774843212,-1.30920637505838
"24",42.5610434064339,44.0227978678627,-1.46175446142877
"25",42.505730980732,43.8549024985205,-1.34917151778848
"26",42.5333275445516,43.8861743037415,-1.35284675918992
"27",42.5411122134102,44.0424384791569,-1.50132626574674
"28",42.5086809754752,43.9592551812595,-1.45057420578429
"29",42.4973180958708,43.9022642208649,-1.4049461249941
"30",42.5765427200253,43.7531646843648,-1.17662196433943
"31",42.6051996169808,43.7239720206447,-1.11877240366391
"32",42.6374723261847,43.4688285926377,-0.83135626645295
"33",42.6313927537052,43.4771026741037,-0.845709920398448
"34",42.6140350877803,43.4899224573341,-0.875887369553752
"35",42.6299902021419,43.4011034883119,-0.771113286170014
"36",42.63402968696,43.3798647335981,-0.745835046638092
"37",42.5267601006368,43.5892713805603,-1.06251127992356
"38",42.5258475654657,43.3339526548999,-0.808105089434257
"39",42.4942422853722,43.1861735647205,-0.691931279348317
"40",42.3910134648984,43.2592379311163,-0.868224466217931
"41",42.356859725651,43.271773811253,-0.914914085601957
"42",42.2248884296911,43.1037005291037,-0.878812099412606
"43",42.1272043497483,43.1745502529348,-1.04734590318651
"44",42.020955973981,43.254151061809,-1.23319508782791
"45",41.9762242926583,43.4913479663118,-1.51512367365353
"46",41.9596562691968,43.2360188182757,-1.27636254907888
"47",42.008258020999,43.3158391617469,-1.30758114074792
"48",41.8299183033404,43.6040006577206,-1.77408235438028
"49",41.7946915272338,43.55481055489,-1.7601190276562
"50",41.7162881692521,43.6216932514461,-1.90540508219402
"51",41.4929312831016,43.5997634755773,-2.10683219247576
"52",41.5751713706905,43.5398698633455,-1.96469849265508
"53",41.8225344503348,43.6007082385604,-1.7781737882256
"54",41.8432758463809,43.6067947768648,-1.76351893048393
"55",42.0545771438122,44.03164314269,-1.97706599887784
"56",41.9862938142092,43.9877337213425,-2.00143990713337
"57",41.914083162483,44.071585349406,-2.15750218692298
"58",41.6717336265833,43.6908459844095,-2.01911235782617
"59",41.6105518284406,43.6794536935475,-2.06890186510688
"60",41.5853364902362,43.5754518273038,-1.99011533706763
"61",41.6191051138651,43.5560658024025,-1.93696068853742
"62",41.6734079499537,43.4790040606889,-1.80559611073517
"63",41.7119334168463,43.4259426651263,-1.71400924827991
"64",41.7115053316262,43.3940957974516,-1.68259046582543
"65",41.798402821632,43.2590890814294,-1.46068625979736
"66",41.8353293639306,43.2557420711287,-1.42041270719809
"67",41.8797269720537,43.1364686101382,-1.25674163808449
"68",41.910903687919,43.1944936066848,-1.28358991876582
"69",41.9309171764409,43.1440560204656,-1.21313884402466
"70",41.9389739015577,43.0023160950418,-1.06334219348419
"71",41.9758633806688,42.967846781339,-0.991983400670229
"72",42.0222412926285,42.9514359636304,-0.929194671001923
"73",41.9872257297399,42.7830110567086,-0.795785326968677
"74",41.8843996563611,42.7771003972535,-0.892700740892437
"75",41.861788531196,42.724997884753,-0.863209353556989
"76",41.8541485225998,43.0693184077216,-1.2151698851218
"77",41.7783400518584,42.9057355767848,-1.12739552492634
"78",41.9161784618432,43.0072294935438,-1.09105103170067
"79",41.9119400459046,43.0254901761443,-1.11355013023972
"80",42.3701438721887,43.3940987503313,-1.02395487814267
"81",42.4218748722535,43.2995339036537,-0.877659031400164
"82",42.4444596593919,43.2922679363443,-0.84780827695247
"83",42.6085615852337,43.6356534585137,-1.02709187327994
"84",42.461509355909,43.5587550351932,-1.0972456792842
"85",42.4636316141463,43.5663808071375,-1.1027491929912
"86",42.4817510072102,43.3881363884766,-0.906385381266446
"87",42.4828541653288,43.4180812426012,-0.935227077272359
"88",42.3960694830366,43.2892826018964,-0.893213118859812
"89",42.357586834473,43.3134164546792,-0.955829620206231
"90",42.388702986077,43.3130273974823,-0.924324411405287
"91",42.344778597516,43.2815769759595,-0.936798378443548
"92",42.3685802068338,43.2579848911335,-0.889404684299699
"93",42.4267243338616,43.2786991138143,-0.851974779952691
"94",42.3015669197281,43.2974741315913,-0.995907211863141
"95",42.2983196619166,43.1982088409538,-0.899889179037203
"96",42.3365325087242,43.2225319842649,-0.885999475540707
"97",42.2939482178854,43.2439405469711,-0.94999232908576
"98",42.2808068921487,43.0475963852495,-0.766789493100781
"99",42.3024424194611,43.0252922724343,-0.722849852973155
"100",42.293133983486,42.9711461158073,-0.678012132321335
